trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,vix_entry,pnl_usd,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,iv_atm_pct,em_pct,expected_move
2023-03-10,2023-03-31,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3894.8,4108.9,3790,3690,3365,530.0,23.36,-530.0,LOSS,expiration,0,-1810,-35.0,-180.0,-180.0,10.0,-322.5,-355.0,23.36,5.6,218.2
2023-03-17,2023-04-14,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3942.35,4137.47,3830,3710,3250,1750.0,24.02,-1750.0,LOSS,expiration,0,-2920,315.0,110.0,-77.5,-100.0,-100.0,-125.0,24.02,6.65,262.3
2023-03-24,2023-04-21,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3931.04,4133.56,3815,3690,3275,440.0,24.09,-440.0,LOSS,expiration,210,-780,-60.0,-255.0,-322.5,-355.0,-357.5,-365.0,24.09,6.67,262.3
2023-03-31,2023-04-28,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4070.21,4169.77,3980,3885,3545,280.0,18.88,-280.0,LOSS,expiration,120,-910,285.0,100.0,-35.0,-5.0,-95.0,-65.0,18.88,5.23,212.8
2023-04-14,2023-05-12,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4160.54,4123.85,4075,3980,3660,720.0,17.55,-720.0,LOSS,expiration,500,-1040,130.0,385.0,375.0,770.0,495.0,490.0,17.55,4.86,202.2
2023-04-21,2023-05-19,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4121.67,4191.97,4035,3940,3580,190.0,17.35,-190.0,LOSS,expiration,360,-1820,145.0,330.0,310.0,215.0,190.0,75.0,17.35,4.81,198.1
2023-04-28,2023-05-26,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4136.61,4205.01,4055,3965,3640,630.0,16.54,-630.0,LOSS,expiration,10,-1560,20.0,315.0,370.0,15.0,-25.0,-27.5,16.54,4.58,189.5
2023-05-05,2023-06-02,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4111.5,4281.67,4025,3925,3570,190.0,17.97,-190.0,LOSS,expiration,380,-910,225.0,105.0,95.0,240.0,-75.0,-75.0,17.97,4.98,204.6
2023-05-12,2023-06-09,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4139.03,4299.44,4060,3970,3625,570.0,16.54,-570.0,LOSS,expiration,0,-1620,160.0,295.0,130.0,10.0,-50.0,-60.0,16.54,4.58,189.6
2023-05-19,2023-06-16,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4211.3,4409.77,4135,4045,3670,110.0,16.03,-110.0,LOSS,expiration,350,-2930,-40.0,360.0,100.0,20.0,-25.0,-40.0,16.03,4.44,187.0
2023-05-26,2023-06-23,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4175.04,4348.23,4090,3980,3575,510.0,18.23,-510.0,LOSS,expiration,0,-1670,175.0,-70.0,-157.5,-175.0,-192.5,-192.5,18.23,5.05,210.8
2023-06-02,2023-06-30,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4246.63,4449.81,4180,4095,3735,180.0,15.13,-180.0,LOSS,expiration,20,-630,130.0,-55.0,-85.0,-85.0,-95.0,-92.5,15.13,4.19,178.0
2023-06-09,2023-07-07,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4312,4398.76,4255,4180,3850,250.0,13.56,-250.0,LOSS,expiration,20,-880,-45.0,-10.0,30.0,-132.5,-185.0,-177.5,13.56,3.76,161.9
2023-06-16,2023-07-14,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4429.61,4506.04,4365,4290,3950,1040.0,14.39,-1040.0,LOSS,expiration,0,-1530,275.0,440.0,80.0,375.0,435.0,230.0,14.39,3.99,176.5
2023-06-23,2023-07-21,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4349.71,4536.68,4290,4215,3910,230.0,13.44,-230.0,LOSS,expiration,0,-1320,90.0,75.0,15.0,-140.0,-145.0,-150.0,13.44,3.72,161.9
