trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3
2024-04-15,2024-04-19,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5165.48,4967.2,5165.0,5150.0,5180.0,95.0,16.3,15.52,83.9,95.0,30.0,47.5,72.5,WIN,expiration,95.0,-410.0,30.0
2024-04-22,2024-04-26,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4990.52,5098.69,4990.0,4975.0,5005.0,85.0,17.95,17.88,93.4,85.0,85.0,85.0,85.0,WIN,expiration,210.0,-2480.0,85.0
2024-04-29,2024-05-03,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5110.53,5127.77,5110.0,5095.0,5125.0,100.0,15.21,17.19,92.0,100.0,65.0,65.0,170.0,WIN,expiration,170.0,-910.0,5.0
2024-05-06,2024-05-10,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5156.9,5222.04,5155.0,5145.0,5165.0,65.0,13.69,12.14,65.5,65.0,20.0,45.0,55.0,WIN,expiration,105.0,-1630.0,25.0
2024-05-13,2024-05-17,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5230.26,5303.89,5230.0,5220.0,5240.0,50.0,13.39,14.73,80.7,50.0,15.0,275.0,275.0,WIN,expiration,275.0,-1980.0,0.0
2024-05-20,2024-05-24,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5321.4,5304.7,5320.0,5310.0,5330.0,50.0,12.16,11.0,61.3,50.0,17.5,50.0,50.0,WIN,expiration,50.0,-560.0,-25.0
2024-06-10,2024-06-14,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5336.64,5432.35,5335.0,5320.0,5350.0,95.0,13.11,15.86,88.6,95.0,25.0,55.0,115.0,WIN,expiration,200.0,-2550.0,15.0
2024-06-17,2024-06-21,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5425.95,5467.65,5425.0,5415.0,5435.0,65.0,13.19,10.61,60.3,65.0,40.0,40.0,75.0,WIN,expiration,230.0,-1760.0,10.0
2024-06-24,2024-06-28,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5478.51,5459.16,5480.0,5470.0,5490.0,50.0,13.48,12.0,68.8,50.0,52.5,52.5,52.5,WIN,expiration,52.5,-1540.0,-455.0
2024-07-08,2024-07-12,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5579.89,5615.93,5580.0,5570.0,5590.0,55.0,12.55,11.55,67.5,55.0,40.0,40.0,55.0,WIN,expiration,60.0,-2070.0,5.0
