Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2023-04-14,2023-04-27,3025,534.92,5.08,2023-04-27,1155,-707.54,2.54,4180,-172.62,7.62,2023-04-27,98
2023-04-21,2023-05-04,1825,1236.92,5.08,2023-05-04,565,-485.54,2.54,2390,751.3800000000001,7.62,2023-05-04,99
2023-04-28,2023-05-11,1665,299.92,5.08,2023-05-11,520,-463.54,2.54,2185,-163.62,7.62,2023-05-11,100
2023-05-05,2023-05-18,2085,-545.08,5.08,2023-05-18,670,627.46,2.54,2755,82.38,7.62,2023-05-18,101
2023-05-12,2023-05-25,2105,641.92,5.08,2023-05-25,700,732.46,2.54,2805,1374.38,7.62,2023-05-25,102
2023-05-19,2023-06-01,1915,-5.08,5.08,2023-06-01,625,-137.54,2.54,2540,-142.62,7.62,2023-06-01,103
2023-05-26,2023-06-08,2335,-1093.08,5.08,2023-06-08,785,919.46,2.54,3120,-173.6199999999999,7.62,2023-06-08,104
2023-06-02,2023-06-15,1385,-790.08,5.08,2023-06-15,500,1312.46,2.54,1885,522.38,7.62,2023-06-15,105
2023-06-09,2023-06-22,1585,-598.08,5.08,2023-06-22,515,954.46,2.54,2100,356.38,7.62,2023-06-22,106
2023-06-16,2023-06-29,1610,-75.08,5.08,2023-06-29,545,-490.54,2.54,2155,-565.62,7.62,2023-06-29,107
2023-06-23,2023-07-06,1940,-78.08,5.08,2023-07-06,645,852.46,2.54,2585,774.38,7.62,2023-07-06,108
2023-06-30,2023-07-13,1615,-198.08,5.08,2023-07-13,645,892.46,2.54,2260,694.38,7.62,2023-07-13,109
2023-07-07,2023-07-20,2275,-1273.08,5.08,2023-07-20,855,1107.46,2.54,3130,-165.6199999999999,7.62,2023-07-20,110
2023-07-14,2023-07-27,1585,629.92,5.08,2023-07-27,540,29.46,2.54,2125,659.38,7.62,2023-07-27,111
2023-07-21,2023-08-03,1625,786.92,5.08,2023-08-03,590,-453.54,2.54,2215,333.37999999999994,7.62,2023-08-03,112
2023-07-28,2023-08-10,1725,226.92,5.08,2023-08-10,565,-550.54,2.54,2290,-323.62,7.62,2023-08-10,113
2023-08-04,2023-08-17,2115,428.92,5.08,2023-08-17,790,-760.54,2.54,2905,-331.61999999999995,7.62,2023-08-17,114
2023-08-11,2023-08-24,1930,289.92,5.08,2023-08-24,645,-603.54,2.54,2575,-313.61999999999995,7.62,2023-08-24,115
2023-08-18,2023-08-31,1785,-1216.08,5.08,2023-08-31,535,942.46,2.54,2320,-273.6199999999999,7.62,2023-08-31,116
2023-08-25,2023-09-07,2210,-123.08,5.08,2023-09-07,780,64.46,2.54,2990,-58.620000000000005,7.62,2023-09-07,117
2023-09-01,2023-09-14,2095,-8.08,5.08,2023-09-14,685,-528.54,2.54,2780,-536.62,7.62,2023-09-14,118
2023-09-08,2023-09-21,1825,593.92,5.08,2023-09-21,595,-578.54,2.54,2420,15.379999999999995,7.62,2023-09-21,119
2023-09-15,2023-09-28,1820,-333.08,5.08,2023-09-28,705,-688.54,2.54,2525,-1021.6199999999999,7.62,2023-09-28,120
2023-09-22,2023-10-05,1910,651.92,5.08,2023-10-05,850,-758.54,2.54,2760,-106.62,7.62,2023-10-05,121
