trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2023-11-17,2023-11-24,SPX,7,805.0,-316.62,13.8,LOSS,expiration,False
2023-11-24,2023-11-30,SPX,7,640.0,91.38,12.46,WIN,expiration,True
2023-12-01,2023-12-07,SPX,7,630.0,-25.62,12.63,LOSS,expiration,False
2023-12-08,2023-12-14,SPX,7,450.0,4.38,12.35,WIN,expiration,True
2023-12-15,2023-12-21,SPX,7,665.0,249.38,12.28,WIN,expiration,True
2023-12-22,2023-12-28,SPX,7,920.0,-230.62,13.03,LOSS,expiration,False
2023-12-29,2024-01-04,SPX,7,700.0,-263.62,12.45,LOSS,expiration,False
2024-01-05,2024-01-11,SPX,7,920.0,-220.62,13.35,LOSS,expiration,False
2024-01-12,2024-01-18,SPX,7,740.0,76.38,12.7,WIN,expiration,True
2024-01-19,2024-01-25,SPX,7,720.0,46.38,13.3,WIN,expiration,True
2024-01-26,2024-02-01,SPX,7,585.0,186.38,13.26,WIN,expiration,True
2024-02-02,2024-02-08,SPX,7,750.0,-90.62,13.85,LOSS,expiration,False
2024-02-09,2024-02-15,SPX,7,785.0,102.38,12.93,WIN,expiration,True
2024-02-16,2024-02-22,SPX,7,775.0,119.38,14.24,WIN,expiration,True
2024-02-23,2024-02-29,SPX,7,700.0,-33.62,13.75,LOSS,expiration,False
2024-03-01,2024-03-07,SPX,7,720.0,231.38,13.11,WIN,expiration,True
2024-03-08,2024-03-14,SPX,7,660.0,128.38,14.74,WIN,expiration,True
2024-03-15,2024-03-21,SPX,7,665.0,-108.62,14.41,LOSS,expiration,False
2024-03-22,2024-03-28,SPX,7,985.0,-78.62,13.06,LOSS,expiration,False
2024-04-05,2024-04-11,SPX,7,845.0,192.38,16.03,WIN,expiration,True
2024-04-12,2024-04-18,SPX,7,900.0,81.38,17.31,WIN,expiration,True
2024-04-19,2024-04-25,SPX,7,1135.0,-195.62,18.71,LOSS,expiration,False
2024-04-26,2024-05-02,SPX,7,755.0,86.38,15.03,WIN,expiration,True
2024-05-03,2024-05-09,SPX,7,915.0,-297.62,13.49,LOSS,expiration,False
2024-05-10,2024-05-16,SPX,7,600.0,-20.62,12.55,LOSS,expiration,False
2024-05-17,2024-05-23,SPX,7,635.0,146.38,11.99,WIN,expiration,True
2024-05-24,2024-05-30,SPX,7,755.0,-28.62,11.93,LOSS,expiration,False
2024-05-31,2024-06-06,SPX,7,725.0,-93.62,12.92,LOSS,expiration,False
2024-06-07,2024-06-13,SPX,7,535.0,59.38,12.22,WIN,expiration,True
2024-06-14,2024-06-20,SPX,7,755.0,52.38,12.66,WIN,expiration,True
2024-06-21,2024-06-27,SPX,7,975.0,-253.62,13.2,LOSS,expiration,False
2024-06-28,2024-07-05,SPX,7,825.0,-540.62,12.44,LOSS,expiration,False
2024-07-05,2024-07-11,SPX,7,645.0,214.38,12.48,WIN,expiration,True
2024-07-12,2024-07-18,SPX,7,630.0,104.38,12.46,WIN,expiration,True
2024-07-19,2024-07-25,SPX,7,870.0,217.38,16.52,WIN,expiration,True
2024-07-26,2024-08-01,SPX,7,835.0,717.38,16.39,WIN,expiration,True
2024-08-02,2024-08-08,SPX,7,1305.0,562.38,23.39,WIN,expiration,True
2024-08-09,2024-08-15,SPX,7,1070.0,-690.62,20.37,LOSS,expiration,False
2024-08-16,2024-08-22,SPX,7,815.0,401.38,14.8,WIN,expiration,True
2024-08-23,2024-08-29,SPX,7,955.0,-113.62,15.86,LOSS,expiration,False
2024-08-30,2024-09-05,SPX,7,755.0,-120.62,15.0,LOSS,expiration,False
2024-09-06,2024-09-12,SPX,7,1100.0,-512.62,22.38,LOSS,expiration,False
2024-09-13,2024-09-19,SPX,7,790.0,277.38,16.56,WIN,expiration,True
2024-09-20,2024-09-26,SPX,7,1105.0,159.38,16.15,WIN,expiration,True
2024-09-27,2024-10-03,SPX,7,800.0,869.38,16.96,WIN,expiration,True
2024-10-04,2024-10-10,SPX,7,880.0,139.38,19.21,WIN,expiration,True
2024-10-11,2024-10-17,SPX,7,1030.0,-98.62,20.46,LOSS,expiration,False
2024-10-18,2024-10-24,SPX,7,910.0,-78.62,18.03,LOSS,expiration,False
2024-10-25,2024-10-31,SPX,7,920.0,284.38,20.33,WIN,expiration,True
2024-11-01,2024-11-07,SPX,7,1250.0,-812.62,21.88,LOSS,expiration,False
2024-11-08,2024-11-14,SPX,7,935.0,-361.62,14.94,LOSS,expiration,False
2024-11-15,2024-11-21,SPX,7,955.0,132.38,16.14,WIN,expiration,True
2024-11-22,2024-11-29,SPX,7,1155.0,-473.62,15.24,LOSS,expiration,False
2024-11-29,2024-12-05,SPX,7,740.0,-163.62,13.51,LOSS,expiration,False
2024-12-06,2024-12-12,SPX,7,705.0,-91.62,12.77,LOSS,expiration,False
2024-12-13,2024-12-19,SPX,7,600.0,-212.62,13.81,LOSS,expiration,False
2024-12-20,2024-12-26,SPX,7,1495.0,-588.62,18.36,LOSS,expiration,False
2024-12-27,2025-01-02,SPX,7,1080.0,42.38,15.95,WIN,expiration,True
2025-01-03,2025-01-10,SPX,7,1070.0,738.38,16.13,WIN,expiration,True
2025-01-10,2025-01-16,SPX,7,1395.0,-110.62,19.54,LOSS,expiration,False
2025-01-17,2025-01-23,SPX,7,975.0,-235.62,15.97,LOSS,expiration,False
2025-01-24,2025-01-30,SPX,7,910.0,289.38,14.85,WIN,expiration,True
2025-01-31,2025-02-06,SPX,7,835.0,-121.62,16.43,LOSS,expiration,False
2025-02-07,2025-02-13,SPX,7,1015.0,169.38,16.54,WIN,expiration,True
2025-02-14,2025-02-20,SPX,7,960.0,-10.62,14.77,LOSS,expiration,False
2025-02-21,2025-02-27,SPX,7,980.0,427.38,18.21,WIN,expiration,True
2025-02-28,2025-03-06,SPX,7,1265.0,484.38,19.63,WIN,expiration,True
2025-03-07,2025-03-13,SPX,7,1445.0,-51.62,23.37,LOSS,expiration,False
2025-03-14,2025-03-20,SPX,7,1480.0,-162.62,21.77,LOSS,expiration,False
2025-03-21,2025-03-27,SPX,7,2280.0,394.38,19.28,WIN,expiration,True
2025-03-28,2025-04-03,SPX,7,1275.0,676.38,21.65,WIN,expiration,True
2025-04-04,2025-04-10,SPX,7,2245.0,5987.38,45.31,WIN,expiration,True
2025-04-11,2025-04-17,SPX,7,3615.0,-2322.62,37.56,LOSS,expiration,False
2025-04-25,2025-05-01,SPX,7,1565.0,254.38,24.84,WIN,expiration,True
2025-05-02,2025-05-08,SPX,7,1340.0,1412.38,22.68,WIN,expiration,True
2025-05-09,2025-05-15,SPX,7,1435.0,-760.62,21.9,LOSS,expiration,False
2025-05-16,2025-05-22,SPX,7,1590.0,-125.62,17.24,LOSS,expiration,False
2025-05-23,2025-05-29,SPX,7,1760.0,-475.62,22.29,LOSS,expiration,False
2025-05-30,2025-06-05,SPX,7,1255.0,-0.62,18.57,LOSS,expiration,False
2025-06-06,2025-06-12,SPX,7,1080.0,339.38,16.77,WIN,expiration,True
2025-06-13,2025-06-20,SPX,7,1415.0,748.38,20.82,WIN,expiration,True
2025-06-20,2025-06-26,SPX,7,1590.0,-1008.62,20.62,LOSS,expiration,False
2025-06-27,2025-07-03,SPX,7,1725.0,-635.62,16.32,LOSS,expiration,False
2025-07-11,2025-07-17,SPX,7,1070.0,29.38,16.4,WIN,expiration,True
2025-07-18,2025-07-24,SPX,7,1180.0,-98.62,16.41,LOSS,expiration,False
2025-07-25,2025-07-31,SPX,7,895.0,182.38,14.93,WIN,expiration,True
2025-08-01,2025-08-07,SPX,7,1330.0,-192.62,20.38,LOSS,expiration,False
2025-08-08,2025-08-14,SPX,7,945.0,84.38,15.15,WIN,expiration,True
2025-08-15,2025-08-21,SPX,7,955.0,-115.62,15.09,LOSS,expiration,False
2025-08-22,2025-08-28,SPX,7,970.0,-225.62,14.22,LOSS,expiration,False
2025-08-29,2025-09-04,SPX,7,920.0,-65.62,15.36,LOSS,expiration,False
2025-09-05,2025-09-11,SPX,7,840.0,-210.62,15.18,LOSS,expiration,False
2025-09-12,2025-09-18,SPX,7,870.0,242.38,14.76,WIN,expiration,True
2025-09-19,2025-09-25,SPX,7,1210.0,-226.62,15.45,LOSS,expiration,False
2025-09-26,2025-10-02,SPX,7,1020.0,301.38,15.29,WIN,expiration,True
2025-10-03,2025-10-09,SPX,7,1180.0,17.38,16.65,WIN,expiration,True
2025-10-10,2025-10-16,SPX,7,1170.0,1274.38,21.66,WIN,expiration,True
2025-10-17,2025-10-23,SPX,7,1490.0,-195.62,20.78,LOSS,expiration,False
