trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3
2024-10-11,2024-10-25,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5793.98,5808.0,5795.0,5775.0,5815.0,535.0,20.6,11.3,128.2,-165.0,133.75,267.5,401.25,LOSS,expiration,580.0,-3560.0,425.0,500.0,410.0,430.0,365.0,133.75,133.75,133.75,133.75,133.75,267.5,267.5,267.5,267.5,267.5,401.25,401.25,401.25,401.25,401.25
2024-10-18,2024-11-01,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5851.48,5728.43,5850.0,5830.0,5870.0,75.0,18.85,12.14,139.1,75.0,18.75,37.5,56.25,WIN,expiration,470.0,-1130.0,-45.0,-70.0,-65.0,-85.0,-225.0,-45.0,-70.0,18.75,18.75,18.75,-45.0,-70.0,37.5,37.5,37.5,-45.0,-70.0,56.25,56.25,56.25
2024-11-01,2024-11-15,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5749.02,5869.75,5750.0,5715.0,5785.0,75.0,21.61,19.53,219.9,75.0,18.75,37.5,56.25,WIN,expiration,310.0,-6900.0,-135.0,-110.0,-35.0,130.0,195.0,-135.0,-110.0,18.75,18.75,18.75,-135.0,-110.0,37.5,37.5,37.5,-135.0,-110.0,56.25,56.25,56.25
2024-11-08,2024-11-22,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5988.72,5968.26,5990.0,5970.0,6010.0,205.0,14.79,10.86,127.3,205.0,51.25,102.5,153.75,WIN,expiration,230.0,-1550.0,75.0,55.0,45.0,95.0,102.5,51.25,51.25,51.25,51.25,51.25,102.5,102.5,102.5,102.5,102.5,75.0,153.75,153.75,153.75,153.75
2024-11-15,2024-11-29,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5900.51,6034.11,5900.0,5880.0,5920.0,115.0,14.96,11.42,132.0,115.0,28.75,57.5,86.25,WIN,expiration,190.0,-3670.0,-5.0,-25.0,25.0,155.0,70.0,-5.0,28.75,28.75,28.75,28.75,-5.0,57.5,57.5,57.5,57.5,-5.0,86.25,86.25,86.25,86.25
2024-11-22,2024-12-06,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5970.42,6088.76,5970.0,5950.0,5990.0,120.0,16.1,12.1,141.5,120.0,30.0,60.0,90.0,WIN,expiration,315.0,-5110.0,-5.0,5.0,-15.0,-145.0,-100.0,-5.0,30.0,30.0,30.0,30.0,-5.0,60.0,60.0,60.0,60.0,-5.0,90.0,90.0,90.0,90.0
2024-11-29,2024-12-13,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),6019.0,6050.83,6020.0,6005.0,6035.0,90.0,13.67,9.16,108.0,90.0,22.5,45.0,67.5,WIN,expiration,240.0,-1750.0,10.0,10.0,25.0,25.0,-5.0,10.0,22.5,22.5,22.5,22.5,10.0,45.0,45.0,45.0,45.0,10.0,67.5,67.5,67.5,67.5
2024-12-06,2024-12-20,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),6098.24,5932.8,6100.0,6085.0,6115.0,125.0,13.07,8.98,107.2,125.0,31.25,62.5,93.75,WIN,expiration,532.5,-1950.0,35.0,25.0,10.0,-5.0,10.0,31.25,31.25,31.25,31.25,31.25,35.0,25.0,10.0,-5.0,10.0,35.0,25.0,10.0,-5.0,10.0
2024-12-13,2024-12-27,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),6068.64,5972.25,6070.0,6055.0,6085.0,95.0,13.46,8.21,97.6,95.0,23.75,47.5,71.25,WIN,expiration,95.0,-1730.0,-5.0,-30.0,62.5,57.5,2.5,23.75,23.75,23.75,23.75,23.75,-5.0,-30.0,47.5,47.5,47.5,-5.0,-30.0,71.25,71.25,71.25
2024-12-20,2025-01-03,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5846.0,5941.88,5845.0,5815.0,5875.0,145.0,22.35,17.38,199.0,145.0,36.25,72.5,108.75,WIN,expiration,430.0,-4280.0,-25.0,45.0,-5.0,-125.0,-125.0,36.25,36.25,36.25,36.25,36.25,72.5,72.5,72.5,72.5,72.5,108.75,108.75,108.75,108.75,108.75
