trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3
2024-12-27,2025-01-03,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5992.41,5941.88,5990.0,5940.0,6040.0,985.0,16.47,11.73,97.4,797.0,265.0,775.0,775.0,WIN,expiration,870.0,-550.0,265.0,20.0
2025-01-03,2025-01-10,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5902.75,5826.5,5905.0,5845.0,5965.0,1030.0,17.44,14.51,118.6,1030.0,415.0,735.0,1030.0,WIN,expiration,1030.0,-2730.0,415.0,360.0
2025-01-10,2025-01-17,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5850.85,5997.07,5850.0,5775.0,5925.0,1630.0,19.22,18.24,147.8,1630.0,465.0,885.0,1415.0,WIN,expiration,1625.0,-2080.0,-50.0,-80.0
2025-01-17,2025-01-24,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5985.09,6100.82,5985.0,5930.0,6040.0,1185.0,15.82,12.71,105.3,1185.0,310.0,760.0,1035.0,WIN,expiration,1300.0,-1520.0,135.0,135.0
2025-01-24,2025-01-31,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6124.53,6040.07,6125.0,6080.0,6170.0,1255.0,14.75,10.83,91.9,1255.0,470.0,692.5,1032.5,WIN,expiration,1255.0,-2470.0,692.5,542.5
2025-01-31,2025-02-07,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6102.03,6025.94,6100.0,6045.0,6155.0,995.0,15.31,13.39,113.2,995.0,447.5,600.0,852.5,WIN,expiration,995.0,-2955.0,447.5,-50.0
2025-02-07,2025-02-14,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6098.82,6113.74,6100.0,6055.0,6145.0,855.0,14.85,10.55,89.1,-2271.0,-2271.0,-2271.0,-2271.0,LOSS,expiration,110.0,-3595.0,-80.0,-210.0
2025-02-14,2025-02-21,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6121.17,6013.46,6120.0,6075.0,6165.0,925.0,14.99,10.43,88.4,925.0,635.0,635.0,865.0,WIN,expiration,925.0,-1620.0,-210.0,-210.0
2025-02-21,2025-02-28,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6097.94,5953.03,6100.0,6045.0,6155.0,690.0,15.7,12.52,105.7,690.0,180.0,422.5,532.5,WIN,expiration,692.5,-1840.0,-365.0,-117.5
2025-02-28,2025-03-07,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5872.14,5769.15,5870.0,5785.0,5955.0,1515.0,20.95,20.61,167.6,1515.0,960.0,960.0,1270.0,WIN,expiration,1515.0,-3160.0,300.0,-160.0
2025-03-07,2025-03-14,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5750.59,5636.86,5750.0,5645.0,5855.0,2020.0,24.11,26.02,207.2,2020.0,525.0,1107.5,1517.5,WIN,expiration,2005.0,-890.0,-75.0,55.0
